rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S115,5,5,IDENTIFIABLE,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,null,
java:S115,6,6,IDENTIFIABLE,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,null,
java:S115,7,7,IDENTIFIABLE,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,null,
java:S115,8,8,IDENTIFIABLE,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,null,
java:S115,11,11,IDENTIFIABLE,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,null,
java:S115,11,11,IDENTIFIABLE,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,null,
java:S115,11,11,IDENTIFIABLE,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,null,
java:S115,11,11,IDENTIFIABLE,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,null,
java:S1116,12,12,CLEAR,Remove this empty statement.,null,
java:S3010,39,39,LOGICAL,Remove this assignment of "operators".,null,
java:S106,63,63,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,65,65,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,69,69,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,72,72,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,93,93,MODULAR,Replace this use of System.out by a logger.,null,
java:S1068,5,5,CLEAR,Remove this unused "pos" private field.,null,
java:S1068,6,6,CLEAR,Remove this unused "neg" private field.,null,
java:S1068,7,7,CLEAR,Remove this unused "mult" private field.,null,
java:S1068,8,8,CLEAR,Remove this unused "div" private field.,null,
