query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining
101_stackoverflow,1,0,0,0
105_stackoverflow,1,0,0,0
108_chatgpt2025,0,1,0,0
11_stackoverflow,1,0,0,0
111_stackoverflow,2,0,0,0
112_stackoverflow,1,0,0,0
114_chatgpt,1,0,0,0
118_stackoverflow,1,0,0,0
12_deepseek,1,0,1,0
12_gemini,1,0,0,0
123_stackoverflow,1,0,0,0
13_stackoverflow,1,0,0,0
133_stackoverflow,3,3,0,0
135_stackoverflow,1,0,0,0
137_stackoverflow,1,0,0,0
138_chatgpt2025,1,0,0,0
138_deepseek,1,0,0,0
142_chatgpt,1,0,0,0
143_stackoverflow,1,0,0,0
146_chatgpt,1,0,0,0
146_chatgpt2025,1,0,0,0
146_deepseek,1,0,0,0
147_chatgpt,1,0,0,0
147_stackoverflow,1,0,0,0
150_chatgpt,1,0,0,0
150_stackoverflow,1,0,0,0
153_stackoverflow,1,0,0,0
159_chatgpt,1,0,0,0
16_stackoverflow,1,0,0,0
162_chatgpt,1,0,0,0
162_chatgpt2025,1,0,0,0
162_gemini,1,0,0,0
164_stackoverflow,2,1,0,0
172_chatgpt,1,0,0,0
173_chatgpt,1,0,0,0
174_stackoverflow,1,0,0,0
178_stackoverflow,1,0,0,0
180_chatgpt,1,0,0,0
183_chatgpt2025,1,0,0,0
183_gemini,1,0,0,0
188_deepseek,1,0,0,0
194_chatgpt,1,0,0,0
194_chatgpt2025,1,0,0,0
194_gemini,1,0,0,0
194_stackoverflow,1,0,0,0
199_chatgpt,1,0,0,0
203_chatgpt,1,0,0,0
203_stackoverflow,1,0,0,0
218_chatgpt,1,0,0,0
219_stackoverflow,1,0,0,0
220_chatgpt,1,0,0,0
220_stackoverflow,1,0,0,0
221_stackoverflow,1,0,0,0
222_stackoverflow,1,0,0,0
224_stackoverflow,1,0,0,0
225_deepseek,1,0,0,0
226_chatgpt,1,0,0,0
229_chatgpt,1,0,0,0
232_chatgpt,1,0,0,0
233_deepseek,1,0,0,0
236_stackoverflow,1,0,0,0
241_stackoverflow,1,0,0,0
245_stackoverflow,1,0,0,0
247_stackoverflow,1,0,0,0
250_deepseek,1,0,0,0
250_gemini,1,0,0,0
250_stackoverflow,1,0,0,0
252_stackoverflow,1,0,0,0
258_stackoverflow,1,0,0,0
26_stackoverflow,1,0,0,0
260_chatgpt,1,0,0,0
262_chatgpt,1,0,0,0
263_stackoverflow,1,0,0,0
265_gemini,1,0,0,0
267_stackoverflow,0,1,0,0
268_stackoverflow,1,0,0,0
269_gemini,1,0,0,0
269_stackoverflow,1,0,0,0
27_chatgpt,1,0,0,0
27_gemini,1,0,0,0
272_stackoverflow,1,0,0,0
273_stackoverflow,1,0,0,0
274_chatgpt2025,1,0,0,0
274_deepseek,1,0,0,0
274_gemini,2,0,0,0
279_deepseek,1,0,0,0
279_gemini,1,0,0,0
279_stackoverflow,1,0,0,0
28_stackoverflow,1,0,0,0
284_stackoverflow,1,0,0,0
287_chatgpt,1,0,0,0
288_deepseek,1,0,0,0
29_stackoverflow,1,1,1,0
291_stackoverflow,2,0,0,0
294_deepseek,0,1,0,0
295_stackoverflow,1,0,0,0
297_gemini,1,0,0,0
299_stackoverflow,1,0,0,0
300_chatgpt2025,1,0,0,0
302_gemini,1,1,0,0
309_deepseek,1,0,0,0
311_stackoverflow,1,0,0,0
312_gemini,1,0,0,0
312_stackoverflow,2,0,0,0
319_chatgpt2025,1,0,0,0
319_gemini,1,0,0,0
320_gemini,1,0,0,0
321_chatgpt,0,1,0,0
321_gemini,1,0,0,0
324_stackoverflow,1,0,0,0
325_chatgpt,1,0,0,0
325_gemini,1,1,1,0
325_stackoverflow,1,0,0,0
328_deepseek,1,0,0,0
329_stackoverflow,1,1,1,1
33_chatgpt,1,0,0,0
33_stackoverflow,2,1,0,0
330_gemini,1,0,0,0
335_chatgpt,1,0,0,0
336_chatgpt2025,1,0,0,0
336_deepseek,1,0,0,0
336_stackoverflow,1,0,0,0
338_stackoverflow,1,0,0,0
34_stackoverflow,1,0,0,0
341_stackoverflow,1,0,0,0
352_gemini,0,1,0,0
353_stackoverflow,1,0,0,0
356_chatgpt2025,2,0,0,0
357_deepseek,2,0,0,0
357_stackoverflow,1,0,0,0
36_stackoverflow,1,0,0,0
38_chatgpt,1,0,0,0
41_gemini,1,1,0,0
48_chatgpt,1,0,0,0
48_chatgpt2025,1,0,0,0
48_stackoverflow,0,1,1,0
55_stackoverflow,1,0,0,1
57_stackoverflow,0,1,1,0
59_chatgpt,1,0,0,0
6_gemini,1,0,0,0
60_chatgpt,2,0,0,0
63_stackoverflow,1,0,0,0
64_chatgpt,1,0,0,0
66_chatgpt,1,0,0,0
66_stackoverflow,1,0,0,0
67_stackoverflow,1,0,0,0
68_stackoverflow,1,0,0,0
74_stackoverflow,1,0,0,0
8_gemini,1,1,0,0
80_stackoverflow,1,0,0,0
9_stackoverflow,1,0,0,0
92_stackoverflow,1,0,0,0
95_stackoverflow,1,0,0,0
96_stackoverflow,1,0,0,0
277_deepseek,0,0,0,1
330_chatgpt,0,0,1,0
