query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining,chatgpt_status,deepseek_status,gemini_status
100_deepseek,2,2,0,2,not_corrected,corrected,not_corrected
103_stackoverflow,1,1,0,0,not_corrected,corrected,corrected
104_gemini,2,0,0,0,corrected,corrected,corrected
108_chatgpt,2,0,0,0,corrected,corrected,corrected
108_chatgpt2025,1,0,0,0,corrected,corrected,corrected
108_deepseek,1,1,1,0,not_corrected,not_corrected,corrected
109_gemini,1,1,0,0,not_corrected,corrected,corrected
11_stackoverflow,1,1,0,0,not_corrected,corrected,corrected
110_deepseek,2,1,1,1,not_corrected,not_corrected,not_corrected
113_chatgpt,2,2,2,2,not_corrected,not_corrected,not_corrected
113_chatgpt2025,2,1,0,1,not_corrected,corrected,not_corrected
113_deepseek,2,1,0,0,not_corrected,corrected,corrected
113_gemini,2,1,1,0,not_corrected,not_corrected,corrected
113_stackoverflow,2,1,1,1,not_corrected,not_corrected,not_corrected
114_chatgpt,2,0,0,0,corrected,corrected,corrected
114_stackoverflow,2,2,0,2,not_corrected,corrected,not_corrected
118_stackoverflow,2,0,0,0,corrected,corrected,corrected
120_deepseek,2,0,0,0,corrected,corrected,corrected
120_stackoverflow,2,0,0,0,corrected,corrected,corrected
122_stackoverflow,2,0,0,2,corrected,corrected,not_corrected
123_deepseek,2,2,2,2,not_corrected,not_corrected,not_corrected
126_chatgpt2025,2,0,0,0,corrected,corrected,corrected
126_stackoverflow,2,1,0,0,not_corrected,corrected,corrected
128_stackoverflow,2,1,2,0,not_corrected,not_corrected,corrected
13_chatgpt,2,0,0,0,corrected,corrected,corrected
13_chatgpt2025,2,0,0,0,corrected,corrected,corrected
13_deepseek,2,0,0,0,corrected,corrected,corrected
13_gemini,2,0,0,0,corrected,corrected,corrected
131_chatgpt2025,2,2,0,1,not_corrected,corrected,not_corrected
131_deepseek,2,2,0,3,not_corrected,corrected,not_corrected
131_gemini,2,1,0,1,not_corrected,corrected,not_corrected
133_deepseek,1,0,0,0,corrected,corrected,corrected
133_gemini,1,0,0,0,corrected,corrected,corrected
133_stackoverflow,3,3,2,2,not_corrected,not_corrected,not_corrected
136_stackoverflow,1,0,0,0,corrected,corrected,corrected
139_stackoverflow,1,1,1,1,not_corrected,not_corrected,not_corrected
141_stackoverflow,1,0,0,0,corrected,corrected,corrected
144_deepseek,2,0,0,0,corrected,corrected,corrected
144_gemini,2,0,0,0,corrected,corrected,corrected
146_stackoverflow,2,2,0,2,not_corrected,corrected,not_corrected
147_chatgpt,2,0,0,2,corrected,corrected,not_corrected
148_chatgpt,2,0,2,0,corrected,not_corrected,corrected
148_deepseek,3,1,1,1,not_corrected,not_corrected,not_corrected
148_gemini,2,1,1,1,not_corrected,not_corrected,not_corrected
148_stackoverflow,2,1,1,1,not_corrected,not_corrected,not_corrected
149_stackoverflow,2,0,0,0,corrected,corrected,corrected
15_chatgpt,2,0,0,0,corrected,corrected,corrected
15_stackoverflow,2,0,0,2,corrected,corrected,not_corrected
151_chatgpt2025,2,0,0,2,corrected,corrected,not_corrected
151_deepseek,2,0,0,0,corrected,corrected,corrected
154_chatgpt,2,2,0,0,not_corrected,corrected,corrected
154_stackoverflow,2,0,0,0,corrected,corrected,corrected
157_stackoverflow,2,0,0,0,corrected,corrected,corrected
158_chatgpt,2,0,2,0,corrected,not_corrected,corrected
158_chatgpt2025,3,0,0,0,corrected,corrected,corrected
158_deepseek,2,0,0,1,corrected,corrected,not_corrected
158_stackoverflow,2,0,0,0,corrected,corrected,corrected
159_chatgpt,2,2,2,2,not_corrected,not_corrected,not_corrected
159_chatgpt2025,2,2,2,2,not_corrected,not_corrected,not_corrected
159_deepseek,2,2,2,2,not_corrected,not_corrected,not_corrected
159_stackoverflow,2,1,0,1,not_corrected,corrected,not_corrected
160_deepseek,1,0,0,0,corrected,corrected,corrected
160_stackoverflow,2,0,0,1,corrected,corrected,not_corrected
162_deepseek,2,0,0,0,corrected,corrected,corrected
163_chatgpt,2,2,2,2,not_corrected,not_corrected,not_corrected
163_chatgpt2025,2,2,2,2,not_corrected,not_corrected,not_corrected
163_deepseek,2,0,0,1,corrected,corrected,not_corrected
163_stackoverflow,2,1,0,1,not_corrected,corrected,not_corrected
167_chatgpt2025,2,0,0,0,corrected,corrected,corrected
168_chatgpt,1,0,0,0,corrected,corrected,corrected
168_chatgpt2025,2,2,2,2,not_corrected,not_corrected,not_corrected
168_stackoverflow,2,1,0,1,not_corrected,corrected,not_corrected
169_gemini,1,1,0,1,not_corrected,corrected,not_corrected
170_stackoverflow,2,0,0,0,corrected,corrected,corrected
171_deepseek,2,2,0,0,not_corrected,corrected,corrected
172_chatgpt2025,2,0,0,0,corrected,corrected,corrected
172_deepseek,2,0,0,0,corrected,corrected,corrected
173_chatgpt,1,0,1,0,corrected,not_corrected,corrected
173_stackoverflow,1,0,0,0,corrected,corrected,corrected
174_stackoverflow,1,0,0,0,corrected,corrected,corrected
175_stackoverflow,2,0,0,0,corrected,corrected,corrected
176_chatgpt,1,0,0,0,corrected,corrected,corrected
176_gemini,1,0,0,0,corrected,corrected,corrected
176_stackoverflow,2,0,0,0,corrected,corrected,corrected
178_deepseek,3,0,0,0,corrected,corrected,corrected
178_stackoverflow,1,0,0,0,corrected,corrected,corrected
179_chatgpt,2,0,0,0,corrected,corrected,corrected
179_stackoverflow,2,2,0,0,not_corrected,corrected,corrected
18_stackoverflow,2,0,0,0,corrected,corrected,corrected
180_stackoverflow,2,0,0,0,corrected,corrected,corrected
181_chatgpt,1,2,0,2,not_corrected,corrected,not_corrected
182_chatgpt,2,2,2,2,not_corrected,not_corrected,not_corrected
182_stackoverflow,1,0,0,1,corrected,corrected,not_corrected
183_chatgpt,2,2,0,0,not_corrected,corrected,corrected
183_stackoverflow,2,0,2,0,corrected,not_corrected,corrected
185_gemini,2,0,0,0,corrected,corrected,corrected
186_gemini,1,1,0,0,not_corrected,corrected,corrected
188_stackoverflow,2,2,2,1,not_corrected,not_corrected,not_corrected
19_stackoverflow,2,0,0,0,corrected,corrected,corrected
190_chatgpt2025,2,1,1,1,not_corrected,not_corrected,not_corrected
190_deepseek,3,1,1,0,not_corrected,not_corrected,corrected
190_gemini,1,1,1,1,not_corrected,not_corrected,not_corrected
191_chatgpt,2,0,1,0,corrected,not_corrected,corrected
191_chatgpt2025,2,1,1,1,not_corrected,not_corrected,not_corrected
191_deepseek,2,1,1,1,not_corrected,not_corrected,not_corrected
194_chatgpt,2,0,0,0,corrected,corrected,corrected
194_deepseek,1,0,1,0,corrected,not_corrected,corrected
194_stackoverflow,1,2,2,0,not_corrected,not_corrected,corrected
195_chatgpt2025,2,0,0,1,corrected,corrected,not_corrected
195_deepseek,2,0,0,0,corrected,corrected,corrected
195_stackoverflow,2,0,0,0,corrected,corrected,corrected
197_chatgpt,2,1,2,1,not_corrected,not_corrected,not_corrected
197_chatgpt2025,2,1,1,1,not_corrected,not_corrected,not_corrected
197_deepseek,2,1,0,1,not_corrected,corrected,not_corrected
197_stackoverflow,3,2,1,0,not_corrected,not_corrected,corrected
198_gemini,1,0,0,0,corrected,corrected,corrected
198_stackoverflow,2,0,0,0,corrected,corrected,corrected
2_chatgpt,1,0,0,0,corrected,corrected,corrected
20_deepseek,2,0,0,2,corrected,corrected,not_corrected
202_chatgpt,2,0,0,0,corrected,corrected,corrected
202_stackoverflow,2,0,0,0,corrected,corrected,corrected
205_chatgpt,2,0,0,0,corrected,corrected,corrected
205_gemini,1,0,0,0,corrected,corrected,corrected
205_stackoverflow,1,2,2,2,not_corrected,not_corrected,not_corrected
207_chatgpt2025,2,1,0,1,not_corrected,corrected,not_corrected
210_gemini,1,1,0,0,not_corrected,corrected,corrected
210_stackoverflow,1,0,0,0,corrected,corrected,corrected
212_chatgpt,1,1,1,0,not_corrected,not_corrected,corrected
212_chatgpt2025,1,1,1,0,not_corrected,not_corrected,corrected
212_deepseek,2,0,0,0,corrected,corrected,corrected
212_stackoverflow,1,0,0,0,corrected,corrected,corrected
215_chatgpt2025,1,0,0,0,corrected,corrected,corrected
215_gemini,1,0,0,0,corrected,corrected,corrected
215_stackoverflow,2,0,0,0,corrected,corrected,corrected
217_chatgpt,1,2,2,0,not_corrected,not_corrected,corrected
217_gemini,1,0,0,0,corrected,corrected,corrected
217_stackoverflow,2,0,0,2,corrected,corrected,not_corrected
220_deepseek,2,1,1,1,not_corrected,not_corrected,not_corrected
220_gemini,2,1,1,1,not_corrected,not_corrected,not_corrected
221_gemini,3,0,0,0,corrected,corrected,corrected
222_deepseek,1,0,0,0,corrected,corrected,corrected
224_deepseek,2,0,0,0,corrected,corrected,corrected
225_deepseek,1,0,0,0,corrected,corrected,corrected
225_stackoverflow,1,1,0,0,not_corrected,corrected,corrected
226_chatgpt,2,0,2,0,corrected,not_corrected,corrected
226_chatgpt2025,2,0,0,0,corrected,corrected,corrected
226_deepseek,2,0,0,0,corrected,corrected,corrected
227_stackoverflow,2,2,2,2,not_corrected,not_corrected,not_corrected
228_chatgpt,2,2,0,2,not_corrected,corrected,not_corrected
228_stackoverflow,1,0,0,0,corrected,corrected,corrected
229_stackoverflow,1,0,0,0,corrected,corrected,corrected
23_chatgpt2025,2,0,0,0,corrected,corrected,corrected
23_deepseek,2,0,0,0,corrected,corrected,corrected
23_gemini,2,0,0,0,corrected,corrected,corrected
23_stackoverflow,2,2,0,0,not_corrected,corrected,corrected
231_deepseek,2,2,2,2,not_corrected,not_corrected,not_corrected
231_gemini,1,0,0,0,corrected,corrected,corrected
231_stackoverflow,1,0,0,0,corrected,corrected,corrected
232_chatgpt,2,0,2,2,corrected,not_corrected,not_corrected
233_chatgpt,2,0,0,1,corrected,corrected,not_corrected
236_stackoverflow,1,0,1,0,corrected,not_corrected,corrected
238_deepseek,1,0,0,0,corrected,corrected,corrected
240_gemini,1,0,0,0,corrected,corrected,corrected
240_stackoverflow,1,1,1,2,not_corrected,not_corrected,not_corrected
241_deepseek,2,0,0,0,corrected,corrected,corrected
242_chatgpt2025,1,0,2,0,corrected,not_corrected,corrected
242_stackoverflow,1,2,0,0,not_corrected,corrected,corrected
243_chatgpt,2,0,0,0,corrected,corrected,corrected
245_stackoverflow,1,0,0,0,corrected,corrected,corrected
247_gemini,2,0,0,0,corrected,corrected,corrected
248_deepseek,2,2,0,2,not_corrected,corrected,not_corrected
248_gemini,2,0,0,0,corrected,corrected,corrected
248_stackoverflow,2,2,2,2,not_corrected,not_corrected,not_corrected
249_stackoverflow,1,2,2,2,not_corrected,not_corrected,not_corrected
25_stackoverflow,2,0,0,0,corrected,corrected,corrected
250_stackoverflow,1,0,0,0,corrected,corrected,corrected
251_chatgpt,2,0,0,0,corrected,corrected,corrected
251_gemini,1,1,0,0,not_corrected,corrected,corrected
251_stackoverflow,2,0,0,0,corrected,corrected,corrected
252_chatgpt,2,0,0,0,corrected,corrected,corrected
252_deepseek,2,2,0,2,not_corrected,corrected,not_corrected
252_stackoverflow,2,0,0,0,corrected,corrected,corrected
254_deepseek,1,1,1,1,not_corrected,not_corrected,not_corrected
256_stackoverflow,2,0,0,0,corrected,corrected,corrected
257_deepseek,1,0,0,0,corrected,corrected,corrected
257_gemini,1,0,0,0,corrected,corrected,corrected
258_chatgpt,2,2,2,2,not_corrected,not_corrected,not_corrected
259_stackoverflow,1,0,0,0,corrected,corrected,corrected
26_chatgpt,1,0,0,0,corrected,corrected,corrected
26_gemini,1,0,0,0,corrected,corrected,corrected
26_stackoverflow,2,0,0,0,corrected,corrected,corrected
260_stackoverflow,2,1,2,0,not_corrected,not_corrected,corrected
261_chatgpt,2,0,0,0,corrected,corrected,corrected
262_stackoverflow,1,1,0,1,not_corrected,corrected,not_corrected
263_chatgpt,2,0,0,0,corrected,corrected,corrected
263_chatgpt2025,2,0,0,0,corrected,corrected,corrected
263_deepseek,2,2,2,2,not_corrected,not_corrected,not_corrected
264_chatgpt,1,1,0,1,not_corrected,corrected,not_corrected
266_gemini,2,0,0,0,corrected,corrected,corrected
266_stackoverflow,1,0,0,0,corrected,corrected,corrected
267_stackoverflow,2,1,0,0,not_corrected,corrected,corrected
268_stackoverflow,3,1,1,2,not_corrected,not_corrected,not_corrected
269_chatgpt,2,2,2,0,not_corrected,not_corrected,corrected
269_chatgpt2025,2,2,2,2,not_corrected,not_corrected,not_corrected
269_deepseek,2,2,2,0,not_corrected,not_corrected,corrected
269_gemini,1,0,0,0,corrected,corrected,corrected
269_stackoverflow,0,2,0,0,introduced,corrected,corrected
27_stackoverflow,1,0,2,0,corrected,not_corrected,corrected
271_chatgpt,1,1,1,0,not_corrected,not_corrected,corrected
271_chatgpt2025,1,0,0,0,corrected,corrected,corrected
271_deepseek,1,0,1,0,corrected,not_corrected,corrected
271_gemini,1,1,1,1,not_corrected,not_corrected,not_corrected
271_stackoverflow,0,2,0,0,introduced,corrected,corrected
273_chatgpt,2,0,0,3,corrected,corrected,not_corrected
273_chatgpt2025,2,0,0,3,corrected,corrected,not_corrected
273_deepseek,2,2,0,2,not_corrected,corrected,not_corrected
276_deepseek,1,0,0,0,corrected,corrected,corrected
276_stackoverflow,3,2,2,2,not_corrected,not_corrected,not_corrected
278_chatgpt2025,2,2,2,1,not_corrected,not_corrected,not_corrected
278_stackoverflow,2,0,0,2,corrected,corrected,not_corrected
28_stackoverflow,2,0,0,0,corrected,corrected,corrected
281_deepseek,2,0,0,0,corrected,corrected,corrected
283_chatgpt2025,1,2,2,0,not_corrected,not_corrected,corrected
284_deepseek,2,2,0,2,not_corrected,corrected,not_corrected
284_stackoverflow,4,0,0,0,corrected,corrected,corrected
285_gemini,1,0,0,0,corrected,corrected,corrected
286_gemini,1,0,0,0,corrected,corrected,corrected
287_chatgpt,2,0,0,0,corrected,corrected,corrected
287_stackoverflow,1,2,1,0,not_corrected,not_corrected,corrected
288_deepseek,1,0,0,0,corrected,corrected,corrected
288_gemini,1,1,1,1,not_corrected,not_corrected,not_corrected
29_stackoverflow,1,0,0,0,corrected,corrected,corrected
290_stackoverflow,2,0,0,0,corrected,corrected,corrected
293_stackoverflow,1,0,0,0,corrected,corrected,corrected
294_stackoverflow,2,0,0,0,corrected,corrected,corrected
297_deepseek,2,0,0,1,corrected,corrected,not_corrected
298_chatgpt,1,0,0,0,corrected,corrected,corrected
298_deepseek,1,0,0,0,corrected,corrected,corrected
299_chatgpt,2,1,1,1,not_corrected,not_corrected,not_corrected
299_chatgpt2025,2,1,1,1,not_corrected,not_corrected,not_corrected
299_deepseek,2,1,1,1,not_corrected,not_corrected,not_corrected
299_gemini,1,1,1,1,not_corrected,not_corrected,not_corrected
299_stackoverflow,1,1,2,1,not_corrected,not_corrected,not_corrected
3_stackoverflow,2,3,0,2,not_corrected,corrected,not_corrected
30_chatgpt,3,1,0,1,not_corrected,corrected,not_corrected
30_deepseek,1,0,0,0,corrected,corrected,corrected
