query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining
10_chatgpt,1,0,0,0
100_chatgpt,1,0,0,0
100_deepseek,2,2,0,2
101_stackoverflow,1,0,0,0
103_stackoverflow,1,1,0,0
104_gemini,2,0,0,0
105_stackoverflow,1,0,0,0
108_chatgpt,2,0,0,0
108_chatgpt2025,3,1,0,0
108_deepseek,1,2,2,0
109_gemini,1,1,0,0
11_chatgpt2025,1,0,0,0
11_deepseek,1,0,0,0
11_gemini,2,0,0,0
11_stackoverflow,5,1,0,0
110_deepseek,2,1,1,1
111_stackoverflow,2,0,0,0
112_stackoverflow,1,0,0,0
113_chatgpt,2,2,2,2
113_chatgpt2025,2,1,0,1
113_deepseek,2,1,0,0
113_gemini,2,1,1,0
113_stackoverflow,2,1,1,1
114_chatgpt,3,0,0,0
114_stackoverflow,2,2,0,2
115_gemini,1,0,0,0
115_stackoverflow,1,1,0,0
118_gemini,1,1,0,0
118_stackoverflow,3,0,0,0
119_stackoverflow,2,0,0,0
12_chatgpt,1,0,0,0
12_deepseek,2,0,2,0
12_gemini,3,0,0,0
12_stackoverflow,2,0,0,0
120_deepseek,2,0,0,0
120_stackoverflow,2,0,0,0
121_stackoverflow,2,0,0,0
122_stackoverflow,2,0,0,2
123_deepseek,2,2,2,2
123_stackoverflow,1,0,0,0
124_gemini,1,0,0,0
124_stackoverflow,1,0,0,0
125_stackoverflow,1,0,0,0
126_chatgpt2025,2,0,0,0
126_stackoverflow,2,1,0,0
128_stackoverflow,3,2,2,0
129_chatgpt,1,0,0,0
129_chatgpt2025,1,0,0,0
129_deepseek,1,0,0,0
129_gemini,1,0,0,0
129_stackoverflow,1,0,0,0
13_chatgpt,2,0,0,0
13_chatgpt2025,2,0,0,0
13_deepseek,2,0,0,0
13_gemini,2,0,0,0
13_stackoverflow,2,0,0,0
131_chatgpt2025,2,2,0,1
131_deepseek,2,2,0,3
131_gemini,2,1,0,1
133_deepseek,1,0,0,0
133_gemini,1,0,0,0
133_stackoverflow,17,17,7,5
135_stackoverflow,1,0,0,0
136_stackoverflow,1,0,0,0
137_chatgpt,2,0,0,0
137_stackoverflow,2,0,0,0
138_chatgpt2025,1,0,0,0
138_deepseek,1,0,0,0
139_chatgpt,1,0,0,0
139_gemini,1,0,0,0
139_stackoverflow,1,1,1,1
141_chatgpt2025,1,0,0,0
141_stackoverflow,2,0,0,0
142_chatgpt,1,0,0,0
143_stackoverflow,1,0,0,0
144_deepseek,2,0,0,0
144_gemini,2,0,0,0
146_chatgpt,2,0,0,0
146_chatgpt2025,1,0,0,0
146_deepseek,1,0,0,0
146_stackoverflow,2,2,0,2
147_chatgpt,3,0,0,2
147_stackoverflow,1,0,0,0
148_chatgpt,3,0,2,0
148_deepseek,3,1,1,1
148_gemini,2,1,1,1
148_stackoverflow,2,2,2,1
149_chatgpt,1,0,0,0
149_deepseek,1,0,0,0
149_stackoverflow,4,0,1,0
15_chatgpt,2,0,0,0
15_stackoverflow,2,0,0,2
150_chatgpt,1,0,0,0
150_gemini,1,0,0,0
150_stackoverflow,2,0,0,0
151_chatgpt2025,2,0,0,2
151_deepseek,2,0,0,0
151_stackoverflow,2,0,0,0
153_stackoverflow,2,0,0,0
154_chatgpt,2,2,0,0
154_stackoverflow,2,0,0,0
157_deepseek,1,1,1,0
157_gemini,1,1,1,0
157_stackoverflow,2,0,0,0
158_chatgpt,3,0,2,0
158_chatgpt2025,3,0,0,0
158_deepseek,2,0,0,1
158_stackoverflow,2,0,0,0
159_chatgpt,3,2,2,2
159_chatgpt2025,2,2,2,2
159_deepseek,2,2,2,2
159_stackoverflow,2,1,0,1
16_chatgpt2025,2,0,0,0
16_deepseek,2,0,0,0
