query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining,chatgpt_status,deepseek_status,gemini_status
10_chatgpt,1,0,0,0,corrected,corrected,corrected
100_chatgpt,1,0,0,0,corrected,corrected,corrected
11_chatgpt2025,1,0,0,0,corrected,corrected,corrected
11_deepseek,1,0,0,0,corrected,corrected,corrected
11_gemini,2,0,0,0,corrected,corrected,corrected
11_stackoverflow,2,0,0,0,corrected,corrected,corrected
115_gemini,1,0,0,0,corrected,corrected,corrected
115_stackoverflow,1,1,0,0,not_corrected,corrected,corrected
118_gemini,1,1,0,0,not_corrected,corrected,corrected
119_stackoverflow,1,0,0,0,corrected,corrected,corrected
12_deepseek,1,0,1,0,corrected,not_corrected,corrected
12_gemini,2,0,0,0,corrected,corrected,corrected
121_stackoverflow,1,0,0,0,corrected,corrected,corrected
124_gemini,1,0,0,0,corrected,corrected,corrected
124_stackoverflow,1,0,0,0,corrected,corrected,corrected
128_stackoverflow,1,1,0,0,not_corrected,corrected,corrected
129_chatgpt,1,0,0,0,corrected,corrected,corrected
129_chatgpt2025,1,0,0,0,corrected,corrected,corrected
129_deepseek,1,0,0,0,corrected,corrected,corrected
129_gemini,1,0,0,0,corrected,corrected,corrected
129_stackoverflow,1,0,0,0,corrected,corrected,corrected
13_stackoverflow,1,0,0,0,corrected,corrected,corrected
133_stackoverflow,2,2,1,1,not_corrected,not_corrected,not_corrected
137_chatgpt,1,0,0,0,corrected,corrected,corrected
137_stackoverflow,1,0,0,0,corrected,corrected,corrected
139_chatgpt,1,0,0,0,corrected,corrected,corrected
139_gemini,1,0,0,0,corrected,corrected,corrected
146_chatgpt,1,0,0,0,corrected,corrected,corrected
148_stackoverflow,0,1,1,0,introduced,introduced,corrected
149_deepseek,1,0,0,0,corrected,corrected,corrected
149_stackoverflow,1,0,1,0,corrected,not_corrected,corrected
151_stackoverflow,1,0,0,0,corrected,corrected,corrected
153_stackoverflow,1,0,0,0,corrected,corrected,corrected
157_deepseek,1,1,1,0,not_corrected,not_corrected,corrected
157_gemini,1,1,1,0,not_corrected,not_corrected,corrected
158_chatgpt,1,0,0,0,corrected,corrected,corrected
16_chatgpt2025,1,0,0,0,corrected,corrected,corrected
16_deepseek,1,0,0,0,corrected,corrected,corrected
16_gemini,1,0,0,0,corrected,corrected,corrected
170_stackoverflow,1,0,0,0,corrected,corrected,corrected
173_gemini,1,0,0,0,corrected,corrected,corrected
176_chatgpt2025,1,0,0,0,corrected,corrected,corrected
181_deepseek,1,0,0,0,corrected,corrected,corrected
186_gemini,0,1,0,0,introduced,corrected,corrected
192_chatgpt2025,1,0,0,0,corrected,corrected,corrected
192_deepseek,1,0,0,0,corrected,corrected,corrected
192_stackoverflow,1,0,0,0,corrected,corrected,corrected
