query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining
108_chatgpt2025,1,0,0,0
108_deepseek,0,1,1,0
11_stackoverflow,1,0,0,0
119_stackoverflow,1,0,0,0
12_chatgpt,1,0,0,0
12_stackoverflow,2,0,0,0
121_stackoverflow,1,0,0,0
125_stackoverflow,1,0,0,0
133_stackoverflow,6,6,1,0
137_chatgpt,1,0,0,0
141_chatgpt2025,1,0,0,0
141_stackoverflow,1,0,0,0
148_chatgpt,1,0,0,0
149_chatgpt,1,0,0,0
149_stackoverflow,1,0,0,0
150_gemini,1,0,0,0
150_stackoverflow,1,0,0,0
151_stackoverflow,1,0,0,0
16_chatgpt2025,1,0,0,0
16_deepseek,1,0,0,0
162_stackoverflow,1,0,0,0
178_deepseek,1,0,0,0
183_stackoverflow,1,0,0,0
186_chatgpt2025,1,0,0,0
186_gemini,1,0,0,0
192_stackoverflow,1,0,0,0
194_stackoverflow,1,0,0,0
196_chatgpt,1,0,0,0
196_chatgpt2025,1,0,0,0
197_stackoverflow,1,0,0,0
201_chatgpt,0,1,1,1
201_chatgpt2025,0,1,1,0
201_deepseek,0,1,1,1
201_gemini,1,0,0,0
204_stackoverflow,1,0,0,0
206_stackoverflow,1,0,0,0
208_stackoverflow,1,0,0,0
210_stackoverflow,1,0,0,0
217_chatgpt,1,0,0,0
218_stackoverflow,1,0,0,0
227_stackoverflow,1,0,0,0
231_stackoverflow,1,0,0,0
245_stackoverflow,1,0,0,0
247_stackoverflow,1,0,0,0
250_stackoverflow,1,0,0,0
254_stackoverflow,1,0,0,0
258_stackoverflow,1,0,0,0
26_stackoverflow,2,0,0,0
260_stackoverflow,1,0,0,0
271_stackoverflow,1,0,0,0
281_stackoverflow,1,0,0,0
284_stackoverflow,1,1,1,1
286_stackoverflow,1,0,0,0
287_chatgpt,1,0,0,0
287_stackoverflow,0,1,0,0
29_chatgpt2025,1,0,0,0
29_deepseek,1,0,0,0
29_stackoverflow,3,0,0,0
293_stackoverflow,2,0,0,0
295_chatgpt2025,3,0,0,0
295_gemini,1,0,0,0
295_stackoverflow,1,0,0,0
298_chatgpt,1,0,0,0
304_stackoverflow,1,0,0,0
306_chatgpt2025,0,1,1,0
307_stackoverflow,1,0,0,0
314_stackoverflow,1,0,0,0
316_stackoverflow,2,0,0,0
320_stackoverflow,1,0,0,0
321_stackoverflow,1,0,0,0
328_chatgpt2025,1,0,0,0
328_deepseek,1,0,0,0
334_gemini,1,0,0,0
339_stackoverflow,1,1,1,0
341_stackoverflow,1,0,0,0
342_gemini,0,1,0,0
349_stackoverflow,2,1,0,0
35_stackoverflow,1,0,0,0
351_stackoverflow,1,0,0,0
356_stackoverflow,2,0,0,0
357_chatgpt,1,0,0,0
357_stackoverflow,1,0,0,0
36_gemini,1,0,0,0
43_chatgpt2025,1,0,0,0
43_deepseek,1,0,0,0
52_chatgpt2025,1,0,0,0
57_stackoverflow,1,0,0,0
61_stackoverflow,1,0,0,0
63_deepseek,1,0,0,0
70_stackoverflow,1,0,0,0
75_stackoverflow,1,0,0,0
76_stackoverflow,1,0,0,0
80_stackoverflow,1,0,0,0
85_stackoverflow,1,0,0,0
88_chatgpt,2,1,1,0
88_chatgpt2025,1,1,1,1
88_deepseek,1,1,1,0
88_gemini,1,1,1,0
88_stackoverflow,5,1,2,1
9_stackoverflow,0,1,0,0
92_stackoverflow,1,0,0,0
93_chatgpt2025,1,0,0,0
93_stackoverflow,1,0,0,0
94_chatgpt,1,0,0,0
173_chatgpt,0,0,1,0
202_stackoverflow,0,0,1,0
