query_id_llm,chatgpt_remaining,deepseek_remaining,gemini_remaining
108_chatgpt2025,1,0,0
108_deepseek,2,2,0
11_stackoverflow,1,0,0
110_deepseek,1,1,1
113_chatgpt2025,1,0,1
113_deepseek,1,0,0
113_gemini,1,1,0
113_stackoverflow,1,1,1
126_stackoverflow,1,0,0
128_stackoverflow,2,0,0
131_gemini,1,0,1
139_stackoverflow,1,1,1
148_deepseek,1,1,1
148_gemini,1,1,1
148_stackoverflow,2,2,1
163_stackoverflow,1,0,1
164_stackoverflow,1,0,0
168_stackoverflow,1,0,1
181_chatgpt,1,0,1
186_gemini,2,0,0
190_chatgpt2025,1,0,1
190_deepseek,1,1,0
190_gemini,1,1,1
191_chatgpt2025,1,1,1
191_deepseek,1,1,1
194_stackoverflow,1,1,0
197_chatgpt,1,0,1
197_chatgpt2025,1,1,1
197_deepseek,1,0,1
201_chatgpt,1,1,1
201_chatgpt2025,1,1,0
201_deepseek,1,1,1
205_stackoverflow,1,1,1
207_chatgpt2025,1,0,1
212_chatgpt,1,1,0
212_chatgpt2025,1,1,0
217_chatgpt,2,2,0
220_deepseek,1,1,1
220_gemini,1,1,1
242_stackoverflow,2,0,0
249_stackoverflow,1,1,1
254_deepseek,1,1,1
262_stackoverflow,1,0,1
264_chatgpt,1,0,1
267_stackoverflow,1,0,0
269_stackoverflow,2,0,0
271_stackoverflow,2,0,0
283_chatgpt2025,2,2,0
287_stackoverflow,3,1,0
288_gemini,1,1,1
29_stackoverflow,1,1,0
294_deepseek,1,0,1
299_chatgpt,1,1,1
299_chatgpt2025,1,1,1
299_deepseek,1,1,1
299_gemini,1,1,1
3_stackoverflow,1,0,0
30_chatgpt,1,0,1
306_chatgpt2025,2,2,0
306_stackoverflow,1,0,1
321_chatgpt,1,0,0
321_stackoverflow,2,0,0
325_gemini,1,1,0
329_stackoverflow,1,1,1
341_chatgpt2025,1,0,1
342_gemini,2,0,0
350_chatgpt2025,1,0,1
350_deepseek,1,0,0
350_gemini,1,0,1
350_stackoverflow,1,1,1
351_deepseek,1,0,1
352_gemini,1,0,0
352_stackoverflow,1,0,0
38_deepseek,1,1,0
38_gemini,1,0,0
41_stackoverflow,1,1,1
46_gemini,2,2,2
48_stackoverflow,1,1,0
5_chatgpt2025,1,1,1
5_deepseek,1,1,0
5_gemini,1,1,1
50_deepseek,1,1,0
51_deepseek,1,0,0
57_stackoverflow,1,1,0
6_chatgpt2025,1,0,0
6_deepseek,1,0,0
71_stackoverflow,1,0,1
8_gemini,1,1,1
9_stackoverflow,2,0,0
133_stackoverflow,0,2,3
173_chatgpt,0,2,0
191_chatgpt,0,1,0
202_stackoverflow,0,1,0
242_chatgpt2025,0,2,0
27_stackoverflow,0,1,0
271_gemini,0,1,0
277_stackoverflow,0,1,0
299_stackoverflow,0,1,1
330_chatgpt,0,1,0
88_stackoverflow,0,1,0
131_chatgpt2025,0,0,1
131_deepseek,0,0,1
158_deepseek,0,0,1
163_deepseek,0,0,1
188_stackoverflow,0,0,1
195_chatgpt2025,0,0,1
233_chatgpt,0,0,1
240_stackoverflow,0,0,2
247_gemini,0,0,1
273_chatgpt,0,0,1
273_chatgpt2025,0,0,1
277_deepseek,0,0,1
278_chatgpt2025,0,0,1
297_deepseek,0,0,1
309_chatgpt2025,0,0,1
309_gemini,0,0,1
320_stackoverflow,0,0,1
38_chatgpt2025,0,0,1
46_stackoverflow,0,0,1
5_chatgpt,0,0,1
91_stackoverflow,0,0,1
