query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining,chatgpt_status,deepseek_status,gemini_status
10_chatgpt,1,0,0,0,corrected,corrected,corrected
100_chatgpt,1,0,0,0,corrected,corrected,corrected
100_deepseek,2,2,0,2,not_corrected,corrected,not_corrected
101_stackoverflow,1,0,0,0,corrected,corrected,corrected
103_stackoverflow,1,1,0,0,not_corrected,corrected,corrected
104_gemini,2,0,0,0,corrected,corrected,corrected
105_stackoverflow,1,0,0,0,corrected,corrected,corrected
108_chatgpt,2,0,0,0,corrected,corrected,corrected
108_chatgpt2025,3,1,0,0,not_corrected,corrected,corrected
108_deepseek,1,2,2,0,not_corrected,not_corrected,corrected
109_gemini,1,1,0,0,not_corrected,corrected,corrected
11_chatgpt2025,1,0,0,0,corrected,corrected,corrected
11_deepseek,1,0,0,0,corrected,corrected,corrected
11_gemini,2,0,0,0,corrected,corrected,corrected
11_stackoverflow,5,1,0,0,not_corrected,corrected,corrected
110_deepseek,2,1,1,1,not_corrected,not_corrected,not_corrected
111_stackoverflow,2,0,0,0,corrected,corrected,corrected
112_stackoverflow,1,0,0,0,corrected,corrected,corrected
113_chatgpt,2,2,2,2,not_corrected,not_corrected,not_corrected
113_chatgpt2025,2,1,0,1,not_corrected,corrected,not_corrected
113_deepseek,2,1,0,0,not_corrected,corrected,corrected
113_gemini,2,1,1,0,not_corrected,not_corrected,corrected
113_stackoverflow,2,1,1,1,not_corrected,not_corrected,not_corrected
114_chatgpt,3,0,0,0,corrected,corrected,corrected
114_stackoverflow,2,2,0,2,not_corrected,corrected,not_corrected
115_gemini,1,0,0,0,corrected,corrected,corrected
115_stackoverflow,1,1,0,0,not_corrected,corrected,corrected
118_gemini,1,1,0,0,not_corrected,corrected,corrected
118_stackoverflow,3,0,0,0,corrected,corrected,corrected
119_stackoverflow,2,0,0,0,corrected,corrected,corrected
12_chatgpt,1,0,0,0,corrected,corrected,corrected
12_deepseek,2,0,2,0,corrected,not_corrected,corrected
12_gemini,3,0,0,0,corrected,corrected,corrected
12_stackoverflow,2,0,0,0,corrected,corrected,corrected
120_deepseek,2,0,0,0,corrected,corrected,corrected
120_stackoverflow,2,0,0,0,corrected,corrected,corrected
121_stackoverflow,2,0,0,0,corrected,corrected,corrected
122_stackoverflow,2,0,0,2,corrected,corrected,not_corrected
123_deepseek,2,2,2,2,not_corrected,not_corrected,not_corrected
123_stackoverflow,1,0,0,0,corrected,corrected,corrected
124_gemini,1,0,0,0,corrected,corrected,corrected
124_stackoverflow,1,0,0,0,corrected,corrected,corrected
125_stackoverflow,1,0,0,0,corrected,corrected,corrected
126_chatgpt2025,2,0,0,0,corrected,corrected,corrected
126_stackoverflow,2,1,0,0,not_corrected,corrected,corrected
128_stackoverflow,3,2,2,0,not_corrected,not_corrected,corrected
