query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining,chatgpt_status,deepseek_status,gemini_status
101_stackoverflow,1,0,0,0,corrected,corrected,corrected
105_stackoverflow,1,0,0,0,corrected,corrected,corrected
108_chatgpt2025,0,1,0,0,introduced,corrected,corrected
11_stackoverflow,1,0,0,0,corrected,corrected,corrected
111_stackoverflow,2,0,0,0,corrected,corrected,corrected
112_stackoverflow,1,0,0,0,corrected,corrected,corrected
114_chatgpt,1,0,0,0,corrected,corrected,corrected
118_stackoverflow,1,0,0,0,corrected,corrected,corrected
12_deepseek,1,0,1,0,corrected,not_corrected,corrected
12_gemini,1,0,0,0,corrected,corrected,corrected
123_stackoverflow,1,0,0,0,corrected,corrected,corrected
13_stackoverflow,1,0,0,0,corrected,corrected,corrected
133_stackoverflow,3,3,0,0,not_corrected,corrected,corrected
135_stackoverflow,1,0,0,0,corrected,corrected,corrected
137_stackoverflow,1,0,0,0,corrected,corrected,corrected
138_chatgpt2025,1,0,0,0,corrected,corrected,corrected
138_deepseek,1,0,0,0,corrected,corrected,corrected
142_chatgpt,1,0,0,0,corrected,corrected,corrected
143_stackoverflow,1,0,0,0,corrected,corrected,corrected
146_chatgpt,1,0,0,0,corrected,corrected,corrected
146_chatgpt2025,1,0,0,0,corrected,corrected,corrected
146_deepseek,1,0,0,0,corrected,corrected,corrected
147_chatgpt,1,0,0,0,corrected,corrected,corrected
147_stackoverflow,1,0,0,0,corrected,corrected,corrected
150_chatgpt,1,0,0,0,corrected,corrected,corrected
150_stackoverflow,1,0,0,0,corrected,corrected,corrected
153_stackoverflow,1,0,0,0,corrected,corrected,corrected
159_chatgpt,1,0,0,0,corrected,corrected,corrected
16_stackoverflow,1,0,0,0,corrected,corrected,corrected
162_chatgpt,1,0,0,0,corrected,corrected,corrected
162_chatgpt2025,1,0,0,0,corrected,corrected,corrected
162_gemini,1,0,0,0,corrected,corrected,corrected
164_stackoverflow,2,1,0,0,not_corrected,corrected,corrected
172_chatgpt,1,0,0,0,corrected,corrected,corrected
173_chatgpt,1,0,0,0,corrected,corrected,corrected
174_stackoverflow,1,0,0,0,corrected,corrected,corrected
178_stackoverflow,1,0,0,0,corrected,corrected,corrected
180_chatgpt,1,0,0,0,corrected,corrected,corrected
