query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining,chatgpt_status,deepseek_status,gemini_status
108_chatgpt2025,1,0,0,0,corrected,corrected,corrected
108_deepseek,0,1,1,0,introduced,introduced,corrected
11_stackoverflow,1,0,0,0,corrected,corrected,corrected
119_stackoverflow,1,0,0,0,corrected,corrected,corrected
12_chatgpt,1,0,0,0,corrected,corrected,corrected
12_stackoverflow,2,0,0,0,corrected,corrected,corrected
121_stackoverflow,1,0,0,0,corrected,corrected,corrected
125_stackoverflow,1,0,0,0,corrected,corrected,corrected
133_stackoverflow,6,6,1,0,not_corrected,not_corrected,corrected
137_chatgpt,1,0,0,0,corrected,corrected,corrected
141_chatgpt2025,1,0,0,0,corrected,corrected,corrected
141_stackoverflow,1,0,0,0,corrected,corrected,corrected
148_chatgpt,1,0,0,0,corrected,corrected,corrected
149_chatgpt,1,0,0,0,corrected,corrected,corrected
149_stackoverflow,1,0,0,0,corrected,corrected,corrected
150_gemini,1,0,0,0,corrected,corrected,corrected
150_stackoverflow,1,0,0,0,corrected,corrected,corrected
151_stackoverflow,1,0,0,0,corrected,corrected,corrected
16_chatgpt2025,1,0,0,0,corrected,corrected,corrected
16_deepseek,1,0,0,0,corrected,corrected,corrected
162_stackoverflow,1,0,0,0,corrected,corrected,corrected
178_deepseek,1,0,0,0,corrected,corrected,corrected
183_stackoverflow,1,0,0,0,corrected,corrected,corrected
186_chatgpt2025,1,0,0,0,corrected,corrected,corrected
186_gemini,1,0,0,0,corrected,corrected,corrected
192_stackoverflow,1,0,0,0,corrected,corrected,corrected
194_stackoverflow,1,0,0,0,corrected,corrected,corrected
196_chatgpt,1,0,0,0,corrected,corrected,corrected
196_chatgpt2025,1,0,0,0,corrected,corrected,corrected
197_stackoverflow,1,0,0,0,corrected,corrected,corrected
201_chatgpt,0,1,1,1,introduced,introduced,introduced
201_chatgpt2025,0,1,1,0,introduced,introduced,corrected
201_deepseek,0,1,1,1,introduced,introduced,introduced
201_gemini,1,0,0,0,corrected,corrected,corrected
204_stackoverflow,1,0,0,0,corrected,corrected,corrected
206_stackoverflow,1,0,0,0,corrected,corrected,corrected
208_stackoverflow,1,0,0,0,corrected,corrected,corrected
210_stackoverflow,1,0,0,0,corrected,corrected,corrected
217_chatgpt,1,0,0,0,corrected,corrected,corrected
218_stackoverflow,1,0,0,0,corrected,corrected,corrected
227_stackoverflow,1,0,0,0,corrected,corrected,corrected
231_stackoverflow,1,0,0,0,corrected,corrected,corrected
245_stackoverflow,1,0,0,0,corrected,corrected,corrected
247_stackoverflow,1,0,0,0,corrected,corrected,corrected
250_stackoverflow,1,0,0,0,corrected,corrected,corrected
254_stackoverflow,1,0,0,0,corrected,corrected,corrected
258_stackoverflow,1,0,0,0,corrected,corrected,corrected
26_stackoverflow,2,0,0,0,corrected,corrected,corrected
260_stackoverflow,1,0,0,0,corrected,corrected,corrected
271_stackoverflow,1,0,0,0,corrected,corrected,corrected
281_stackoverflow,1,0,0,0,corrected,corrected,corrected
284_stackoverflow,1,1,1,1,not_corrected,not_corrected,not_corrected
286_stackoverflow,1,0,0,0,corrected,corrected,corrected
287_chatgpt,1,0,0,0,corrected,corrected,corrected
287_stackoverflow,0,1,0,0,introduced,corrected,corrected
29_chatgpt2025,1,0,0,0,corrected,corrected,corrected
29_deepseek,1,0,0,0,corrected,corrected,corrected
29_stackoverflow,3,0,0,0,corrected,corrected,corrected
293_stackoverflow,2,0,0,0,corrected,corrected,corrected
295_chatgpt2025,3,0,0,0,corrected,corrected,corrected
295_gemini,1,0,0,0,corrected,corrected,corrected
295_stackoverflow,1,0,0,0,corrected,corrected,corrected
298_chatgpt,1,0,0,0,corrected,corrected,corrected
304_stackoverflow,1,0,0,0,corrected,corrected,corrected
306_chatgpt2025,0,1,1,0,introduced,introduced,corrected
307_stackoverflow,1,0,0,0,corrected,corrected,corrected
314_stackoverflow,1,0,0,0,corrected,corrected,corrected
316_stackoverflow,2,0,0,0,corrected,corrected,corrected
320_stackoverflow,1,0,0,0,corrected,corrected,corrected
321_stackoverflow,1,0,0,0,corrected,corrected,corrected
328_chatgpt2025,1,0,0,0,corrected,corrected,corrected
328_deepseek,1,0,0,0,corrected,corrected,corrected
334_gemini,1,0,0,0,corrected,corrected,corrected
339_stackoverflow,1,1,1,0,not_corrected,not_corrected,corrected
341_stackoverflow,1,0,0,0,corrected,corrected,corrected
342_gemini,0,1,0,0,introduced,corrected,corrected
349_stackoverflow,2,1,0,0,not_corrected,corrected,corrected
35_stackoverflow,1,0,0,0,corrected,corrected,corrected
351_stackoverflow,1,0,0,0,corrected,corrected,corrected
356_stackoverflow,2,0,0,0,corrected,corrected,corrected
357_chatgpt,1,0,0,0,corrected,corrected,corrected
357_stackoverflow,1,0,0,0,corrected,corrected,corrected
36_gemini,1,0,0,0,corrected,corrected,corrected
43_chatgpt2025,1,0,0,0,corrected,corrected,corrected
43_deepseek,1,0,0,0,corrected,corrected,corrected
52_chatgpt2025,1,0,0,0,corrected,corrected,corrected
57_stackoverflow,1,0,0,0,corrected,corrected,corrected
61_stackoverflow,1,0,0,0,corrected,corrected,corrected
63_deepseek,1,0,0,0,corrected,corrected,corrected
70_stackoverflow,1,0,0,0,corrected,corrected,corrected
75_stackoverflow,1,0,0,0,corrected,corrected,corrected
76_stackoverflow,1,0,0,0,corrected,corrected,corrected
80_stackoverflow,1,0,0,0,corrected,corrected,corrected
85_stackoverflow,1,0,0,0,corrected,corrected,corrected
88_chatgpt,2,1,1,0,not_corrected,not_corrected,corrected
88_chatgpt2025,1,1,1,1,not_corrected,not_corrected,not_corrected
88_deepseek,1,1,1,0,not_corrected,not_corrected,corrected
88_gemini,1,1,1,0,not_corrected,not_corrected,corrected
88_stackoverflow,5,1,2,1,not_corrected,not_corrected,not_corrected
9_stackoverflow,0,1,0,0,introduced,corrected,corrected
92_stackoverflow,1,0,0,0,corrected,corrected,corrected
93_chatgpt2025,1,0,0,0,corrected,corrected,corrected
93_stackoverflow,1,0,0,0,corrected,corrected,corrected
