query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining
10_chatgpt,1,0,0,0
100_chatgpt,1,0,0,0
11_chatgpt2025,1,0,0,0
11_deepseek,1,0,0,0
11_gemini,2,0,0,0
11_stackoverflow,2,0,0,0
115_gemini,1,0,0,0
115_stackoverflow,1,1,0,0
118_gemini,1,1,0,0
119_stackoverflow,1,0,0,0
12_deepseek,1,0,1,0
12_gemini,2,0,0,0
121_stackoverflow,1,0,0,0
124_gemini,1,0,0,0
124_stackoverflow,1,0,0,0
128_stackoverflow,1,1,0,0
129_chatgpt,1,0,0,0
129_chatgpt2025,1,0,0,0
129_deepseek,1,0,0,0
129_gemini,1,0,0,0
129_stackoverflow,1,0,0,0
13_stackoverflow,1,0,0,0
133_stackoverflow,2,2,1,1
137_chatgpt,1,0,0,0
137_stackoverflow,1,0,0,0
139_chatgpt,1,0,0,0
139_gemini,1,0,0,0
146_chatgpt,1,0,0,0
148_stackoverflow,0,1,1,0
149_deepseek,1,0,0,0
149_stackoverflow,1,0,1,0
151_stackoverflow,1,0,0,0
153_stackoverflow,1,0,0,0
157_deepseek,1,1,1,0
157_gemini,1,1,1,0
158_chatgpt,1,0,0,0
16_chatgpt2025,1,0,0,0
16_deepseek,1,0,0,0
16_gemini,1,0,0,0
170_stackoverflow,1,0,0,0
173_gemini,1,0,0,0
176_chatgpt2025,1,0,0,0
181_deepseek,1,0,0,0
186_gemini,0,1,0,0
192_chatgpt2025,1,0,0,0
192_deepseek,1,0,0,0
192_stackoverflow,1,0,0,0
196_chatgpt,1,0,0,0
196_chatgpt2025,1,0,0,0
2_stackoverflow,1,0,0,0
201_chatgpt,1,0,0,0
201_chatgpt2025,1,0,0,0
201_deepseek,1,0,0,0
201_gemini,1,0,0,0
201_stackoverflow,1,0,0,0
202_stackoverflow,1,0,0,0
212_stackoverflow,1,0,0,0
217_chatgpt,1,0,0,0
221_gemini,1,0,0,0
224_chatgpt,1,0,0,0
224_stackoverflow,1,0,0,0
226_chatgpt,1,0,0,0
226_gemini,1,0,0,0
229_chatgpt,1,0,0,0
23_gemini,1,0,0,0
232_gemini,1,0,0,0
232_stackoverflow,1,0,0,0
236_chatgpt2025,1,0,0,0
236_stackoverflow,1,0,0,0
240_gemini,1,1,0,0
242_gemini,1,0,0,0
247_stackoverflow,2,0,0,0
249_deepseek,1,0,0,0
249_gemini,1,0,0,0
249_stackoverflow,1,0,0,0
25_gemini,2,0,0,0
250_chatgpt,1,1,1,0
253_deepseek,1,0,0,0
253_stackoverflow,1,0,0,0
254_gemini,1,0,0,0
26_stackoverflow,1,0,0,0
260_stackoverflow,1,0,0,0
265_chatgpt2025,1,0,0,0
265_deepseek,1,0,0,0
265_gemini,1,0,0,0
267_stackoverflow,1,0,0,0
274_chatgpt2025,1,0,0,0
274_deepseek,2,0,0,0
274_gemini,1,0,0,0
277_deepseek,2,0,1,1
277_stackoverflow,2,0,0,0
28_chatgpt2025,1,0,0,0
281_stackoverflow,1,0,0,0
285_stackoverflow,1,0,0,0
286_stackoverflow,1,0,0,0
287_chatgpt,2,0,0,0
29_chatgpt2025,1,0,0,0
29_deepseek,1,0,0,0
29_stackoverflow,1,0,0,0
294_deepseek,1,0,0,0
294_gemini,1,0,0,0
294_stackoverflow,1,0,0,0
295_gemini,1,0,0,0
297_gemini,1,0,0,0
3_stackoverflow,1,0,0,0
304_gemini,1,0,0,0
314_stackoverflow,1,0,0,0
32_deepseek,1,0,0,0
325_chatgpt2025,1,0,0,0
325_deepseek,1,0,0,0
325_gemini,1,0,0,0
325_stackoverflow,2,0,0,0
326_stackoverflow,1,0,0,0
327_stackoverflow,1,0,0,0
328_chatgpt2025,1,0,0,0
328_deepseek,1,0,0,0
329_chatgpt2025,1,0,0,0
329_deepseek,1,0,0,0
329_gemini,1,0,0,0
329_stackoverflow,2,0,0,0
33_chatgpt2025,1,0,0,0
33_stackoverflow,1,0,0,0
330_gemini,1,0,0,0
334_gemini,1,0,0,0
338_chatgpt2025,1,0,0,0
338_gemini,1,0,0,0
338_stackoverflow,1,0,0,0
341_stackoverflow,1,0,0,0
342_stackoverflow,1,0,1,1
349_stackoverflow,1,1,0,0
352_gemini,1,0,0,0
354_gemini,1,0,0,0
357_chatgpt,1,0,0,0
38_deepseek,0,1,0,0
38_gemini,1,0,0,0
39_chatgpt,1,0,0,0
39_deepseek,1,0,0,0
39_stackoverflow,1,0,0,0
43_chatgpt2025,1,0,0,0
43_deepseek,1,0,0,0
46_chatgpt,1,1,1,1
46_gemini,1,0,0,0
46_stackoverflow,1,0,0,0
48_stackoverflow,1,0,0,0
51_chatgpt2025,1,0,0,0
51_deepseek,1,0,0,0
51_gemini,1,0,0,0
52_chatgpt2025,2,0,0,0
52_deepseek,1,0,0,0
56_chatgpt2025,1,0,0,0
56_deepseek,1,0,0,0
57_stackoverflow,1,0,0,0
63_chatgpt2025,1,0,0,0
63_gemini,1,0,0,0
64_stackoverflow,1,0,0,0
66_stackoverflow,1,0,0,0
71_stackoverflow,0,1,0,0
75_stackoverflow,1,0,0,0
76_stackoverflow,1,0,0,0
8_gemini,1,0,0,0
83_stackoverflow,1,0,0,0
87_gemini,1,0,0,0
88_stackoverflow,1,0,0,1
93_gemini,1,0,0,0
94_chatgpt,1,0,0,0
94_stackoverflow,2,0,0,0
97_gemini,1,0,1,0
97_stackoverflow,2,0,0,0
247_gemini,0,0,0,1
