query_id_llm,chatgpt_corrected,deepseek_corrected,gemini_corrected
10_chatgpt,1,1,1
100_chatgpt,1,1,1
100_deepseek,0,1,0
101_stackoverflow,1,1,1
103_stackoverflow,0,1,1
104_gemini,1,1,1
105_stackoverflow,1,1,1
108_chatgpt,1,1,1
108_chatgpt2025,0,1,1
108_deepseek,0,0,1
109_gemini,0,1,1
11_chatgpt2025,1,1,1
11_deepseek,1,1,1
11_gemini,1,1,1
11_stackoverflow,0,1,1
110_deepseek,0,0,0
111_stackoverflow,1,1,1
112_stackoverflow,1,1,1
113_chatgpt,0,0,0
113_chatgpt2025,0,1,0
113_deepseek,0,1,1
113_gemini,0,0,1
113_stackoverflow,0,0,0
114_chatgpt,1,1,1
114_stackoverflow,0,1,0
115_gemini,1,1,1
115_stackoverflow,0,1,1
118_gemini,0,1,1
118_stackoverflow,1,1,1
119_stackoverflow,1,1,1
12_chatgpt,1,1,1
12_deepseek,1,0,1
12_gemini,1,1,1
12_stackoverflow,1,1,1
120_deepseek,1,1,1
120_stackoverflow,1,1,1
121_stackoverflow,1,1,1
122_stackoverflow,1,1,0
123_deepseek,0,0,0
123_stackoverflow,1,1,1
124_gemini,1,1,1
124_stackoverflow,1,1,1
125_stackoverflow,1,1,1
126_chatgpt2025,1,1,1
126_stackoverflow,0,1,1
128_stackoverflow,0,0,1
129_chatgpt,1,1,1
129_chatgpt2025,1,1,1
129_deepseek,1,1,1
129_gemini,1,1,1
129_stackoverflow,1,1,1
13_chatgpt,1,1,1
13_chatgpt2025,1,1,1
13_deepseek,1,1,1
13_gemini,1,1,1
13_stackoverflow,1,1,1
131_chatgpt2025,0,1,0
131_deepseek,0,1,0
131_gemini,0,1,0
133_deepseek,1,1,1
133_gemini,1,1,1
133_stackoverflow,0,0,0
135_stackoverflow,1,1,1
136_stackoverflow,1,1,1
137_chatgpt,1,1,1
137_stackoverflow,1,1,1
138_chatgpt2025,1,1,1
138_deepseek,1,1,1
139_chatgpt,1,1,1
139_gemini,1,1,1
139_stackoverflow,0,0,0
141_chatgpt2025,1,1,1
141_stackoverflow,1,1,1
142_chatgpt,1,1,1
143_stackoverflow,1,1,1
144_deepseek,1,1,1
144_gemini,1,1,1
146_chatgpt,1,1,1
146_chatgpt2025,1,1,1
146_deepseek,1,1,1
146_stackoverflow,0,1,0
147_chatgpt,1,1,0
147_stackoverflow,1,1,1
148_chatgpt,1,0,1
148_deepseek,0,0,0
148_gemini,0,0,0
148_stackoverflow,0,0,0
149_chatgpt,1,1,1
149_deepseek,1,1,1
149_stackoverflow,1,0,1
15_chatgpt,1,1,1
15_stackoverflow,1,1,0
150_chatgpt,1,1,1
150_gemini,1,1,1
150_stackoverflow,1,1,1
151_chatgpt2025,1,1,0
151_deepseek,1,1,1
151_stackoverflow,1,1,1
153_stackoverflow,1,1,1
154_chatgpt,0,1,1
154_stackoverflow,1,1,1
157_deepseek,0,0,1
157_gemini,0,0,1
157_stackoverflow,1,1,1
158_chatgpt,1,0,1
158_chatgpt2025,1,1,1
158_deepseek,1,1,0
158_stackoverflow,1,1,1
159_chatgpt,0,0,0
159_chatgpt2025,0,0,0
159_deepseek,0,0,0
159_stackoverflow,0,1,0
16_chatgpt2025,1,1,1
16_deepseek,1,1,1
16_gemini,1,1,1
16_stackoverflow,1,1,1
160_deepseek,1,1,1
160_stackoverflow,1,1,0
162_chatgpt,1,1,1
162_chatgpt2025,1,1,1
162_deepseek,1,1,1
162_gemini,1,1,1
162_stackoverflow,1,1,1
163_chatgpt,0,0,0
163_chatgpt2025,0,0,0
163_deepseek,1,1,0
163_stackoverflow,0,1,0
164_stackoverflow,0,1,1
167_chatgpt2025,1,1,1
168_chatgpt,1,1,1
168_chatgpt2025,0,0,0
168_stackoverflow,0,1,0
169_gemini,0,1,0
170_stackoverflow,1,1,1
171_deepseek,0,1,1
172_chatgpt,1,1,1
172_chatgpt2025,1,1,1
172_deepseek,1,1,1
173_chatgpt,1,0,1
173_gemini,1,1,1
173_stackoverflow,1,1,1
174_stackoverflow,1,1,1
175_stackoverflow,1,1,1
176_chatgpt,1,1,1
176_chatgpt2025,1,1,1
176_gemini,1,1,1
176_stackoverflow,1,1,1
178_deepseek,1,1,1
178_stackoverflow,1,1,1
179_chatgpt,1,1,1
179_stackoverflow,0,1,1
18_stackoverflow,1,1,1
180_chatgpt,1,1,1
180_stackoverflow,1,1,1
181_chatgpt,0,1,0
181_deepseek,1,1,1
182_chatgpt,0,0,0
182_stackoverflow,1,1,0
183_chatgpt,0,1,1
183_chatgpt2025,1,1,1
183_gemini,1,1,1
183_stackoverflow,1,0,1
185_gemini,1,1,1
186_chatgpt2025,1,1,1
186_gemini,0,1,1
188_deepseek,1,1,1
188_stackoverflow,0,0,0
19_stackoverflow,1,1,1
190_chatgpt2025,0,0,0
190_deepseek,0,0,1
190_gemini,0,0,0
191_chatgpt,1,0,1
191_chatgpt2025,0,0,0
191_deepseek,0,0,0
192_chatgpt2025,1,1,1
192_deepseek,1,1,1
192_stackoverflow,1,1,1
194_chatgpt,1,1,1
194_chatgpt2025,1,1,1
194_deepseek,1,0,1
194_gemini,1,1,1
194_stackoverflow,0,0,1
195_chatgpt2025,1,1,0
195_deepseek,1,1,1
195_stackoverflow,1,1,1
196_chatgpt,1,1,1
196_chatgpt2025,1,1,1
197_chatgpt,0,0,0
197_chatgpt2025,0,0,0
197_deepseek,0,1,0
197_stackoverflow,0,0,1
198_gemini,1,1,1
198_stackoverflow,1,1,1
199_chatgpt,1,1,1
2_chatgpt,1,1,1
2_stackoverflow,1,1,1
20_deepseek,1,1,0
201_chatgpt,0,0,0
201_chatgpt2025,0,0,1
201_deepseek,0,0,0
201_gemini,1,1,1
201_stackoverflow,1,1,1
202_chatgpt,1,1,1
202_stackoverflow,1,0,1
203_chatgpt,1,1,1
203_stackoverflow,1,1,1
204_stackoverflow,1,1,1
205_chatgpt,1,1,1
205_gemini,1,1,1
205_stackoverflow,0,0,0
206_stackoverflow,1,1,1
207_chatgpt2025,0,1,0
208_stackoverflow,1,1,1
210_gemini,0,1,1
210_stackoverflow,1,1,1
212_chatgpt,0,0,1
212_chatgpt2025,0,0,1
212_deepseek,1,1,1
212_stackoverflow,1,1,1
215_chatgpt2025,1,1,1
215_gemini,1,1,1
215_stackoverflow,1,1,1
217_chatgpt,0,0,1
217_gemini,1,1,1
217_stackoverflow,1,1,0
218_chatgpt,1,1,1
218_gemini,1,1,1
218_stackoverflow,1,1,1
219_stackoverflow,1,1,1
220_chatgpt,1,1,1
220_deepseek,0,0,0
220_gemini,0,0,0
220_stackoverflow,1,1,1
221_gemini,1,1,1
221_stackoverflow,1,1,1
222_deepseek,1,1,1
222_stackoverflow,1,1,1
224_chatgpt,1,1,1
224_deepseek,1,1,1
224_stackoverflow,1,1,1
225_deepseek,1,1,1
225_stackoverflow,0,1,1
226_chatgpt,1,0,1
226_chatgpt2025,1,1,1
226_deepseek,1,1,1
226_gemini,1,1,1
227_stackoverflow,0,0,0
228_chatgpt,0,1,0
228_stackoverflow,1,1,1
229_chatgpt,1,1,1
229_stackoverflow,1,1,1
23_chatgpt2025,1,1,1
23_deepseek,1,1,1
23_gemini,1,1,1
23_stackoverflow,0,1,1
231_deepseek,0,0,0
231_gemini,1,1,1
231_stackoverflow,1,1,1
232_chatgpt,1,0,0
232_gemini,1,1,1
232_stackoverflow,1,1,1
233_chatgpt,1,1,0
233_deepseek,1,1,1
236_chatgpt2025,1,1,1
236_stackoverflow,1,0,1
238_deepseek,1,1,1
240_gemini,0,1,1
240_stackoverflow,0,0,0
241_deepseek,1,1,1
241_stackoverflow,1,1,1
242_chatgpt2025,1,0,1
242_gemini,1,1,1
242_stackoverflow,0,1,1
243_chatgpt,1,1,1
245_stackoverflow,1,1,1
247_gemini,1,1,0
247_stackoverflow,1,1,1
248_deepseek,0,1,0
248_gemini,1,1,1
248_stackoverflow,0,0,0
249_deepseek,1,1,1
249_gemini,1,1,1
249_stackoverflow,0,0,0
25_gemini,1,1,1
25_stackoverflow,1,1,1
250_chatgpt,0,0,1
250_deepseek,1,1,1
250_gemini,1,1,1
250_stackoverflow,1,1,1
251_chatgpt,1,1,1
251_gemini,0,1,1
251_stackoverflow,1,1,1
252_chatgpt,1,1,1
252_deepseek,0,1,0
252_stackoverflow,1,1,1
253_deepseek,1,1,1
253_stackoverflow,1,1,1
254_deepseek,0,0,0
254_gemini,1,1,1
254_stackoverflow,1,1,1
256_stackoverflow,1,1,1
257_deepseek,1,1,1
257_gemini,1,1,1
258_chatgpt,0,0,0
258_stackoverflow,1,1,1
259_stackoverflow,1,1,1
26_chatgpt,1,1,1
26_gemini,1,1,1
26_stackoverflow,1,1,1
260_chatgpt,1,1,1
260_stackoverflow,0,0,1
261_chatgpt,1,1,1
262_chatgpt,1,1,1
262_stackoverflow,0,1,0
263_chatgpt,1,1,1
263_chatgpt2025,1,1,1
263_deepseek,0,0,0
263_stackoverflow,1,1,1
264_chatgpt,0,1,0
265_chatgpt2025,1,1,1
265_deepseek,1,1,1
265_gemini,1,1,1
266_gemini,1,1,1
266_stackoverflow,1,1,1
267_stackoverflow,0,1,1
268_stackoverflow,0,0,0
269_chatgpt,0,0,1
269_chatgpt2025,0,0,0
269_deepseek,0,0,1
269_gemini,1,1,1
269_stackoverflow,0,1,1
27_chatgpt,1,1,1
27_gemini,1,1,1
27_stackoverflow,1,0,1
271_chatgpt,0,0,1
271_chatgpt2025,1,1,1
271_deepseek,1,0,1
271_gemini,0,0,0
271_stackoverflow,0,1,1
272_stackoverflow,1,1,1
273_chatgpt,1,1,0
273_chatgpt2025,1,1,0
273_deepseek,0,1,0
273_stackoverflow,1,1,1
274_chatgpt2025,1,1,1
274_deepseek,1,1,1
274_gemini,1,1,1
276_deepseek,1,1,1
276_stackoverflow,0,0,0
277_deepseek,1,0,0
277_stackoverflow,1,0,1
278_chatgpt2025,0,0,0
278_stackoverflow,1,1,0
279_deepseek,1,1,1
279_gemini,1,1,1
279_stackoverflow,1,1,1
28_chatgpt2025,1,1,1
28_gemini,1,1,1
28_stackoverflow,1,1,1
281_deepseek,1,1,1
281_stackoverflow,1,1,1
283_chatgpt2025,0,0,1
284_deepseek,0,1,0
284_stackoverflow,0,0,0
285_gemini,1,1,1
285_stackoverflow,1,1,1
286_gemini,1,1,1
286_stackoverflow,1,1,1
287_chatgpt,1,1,1
287_stackoverflow,0,0,1
288_deepseek,1,1,1
288_gemini,0,0,0
29_chatgpt2025,1,1,1
29_deepseek,1,1,1
29_gemini,1,1,1
29_stackoverflow,0,0,1
290_stackoverflow,1,1,1
291_stackoverflow,1,1,1
293_stackoverflow,1,1,1
294_deepseek,0,1,0
294_gemini,1,1,1
294_stackoverflow,1,1,1
295_chatgpt2025,1,1,1
295_gemini,1,1,1
295_stackoverflow,1,1,1
297_deepseek,1,1,0
297_gemini,1,1,1
298_chatgpt,1,1,1
298_deepseek,1,1,1
299_chatgpt,0,0,0
299_chatgpt2025,0,0,0
299_deepseek,0,0,0
299_gemini,0,0,0
299_stackoverflow,0,0,0
3_stackoverflow,0,1,0
30_chatgpt,0,1,0
30_deepseek,1,1,1
30_gemini,1,1,1
30_stackoverflow,1,1,1
300_chatgpt2025,1,1,1
302_gemini,0,1,1
302_stackoverflow,1,1,1
303_gemini,1,1,1
304_gemini,1,1,1
304_stackoverflow,0,1,1
306_chatgpt2025,0,0,1
306_deepseek,1,1,0
306_stackoverflow,0,1,0
307_stackoverflow,1,1,0
308_stackoverflow,1,1,0
309_chatgpt,0,0,0
309_chatgpt2025,0,1,0
309_deepseek,1,1,1
309_gemini,1,1,0
311_stackoverflow,1,1,1
312_gemini,1,1,1
312_stackoverflow,1,1,1
313_chatgpt,1,1,1
313_stackoverflow,1,1,0
314_deepseek,1,1,1
314_stackoverflow,1,1,1
316_stackoverflow,1,1,1
